ICAO,IATA,AIRPORT,COUNTRY,GEOGRAPHIC REGION,777-200LR,777-300ER,777F,A380
VCRI,HRI,MATTALA,SRI LANKA,ASIA,A2,A2,A2,
VDPP,PNH,PHNOM PENH,CAMBODIA,ASIA,D,D,D,
VECC,CCU,KOLKATA,INDIA,ASIA,D,D,D,CA
VGEG,CGP,CHITTAGONG,BANGLADESH,ASIA,A1,A1,D,
VGHS,DAC,DHAKA,BANGLADESH,ASIA,D,D,D,CA
VHHH,HKG,HONG KONG,CHINA,ASIA,D,D,D,D
VIAR,ATQ,AMRITSAR,INDIA,ASIA,A1,A1,A1,
VIDP,DEL,DELHI,INDIA,ASIA,D,D,D,A1
VIJP,JAI,JAIPUR,INDIA,ASIA,CA,CA,CA,
VILK,LKO,LUCKNOW,INDIA,ASIA,A2,A2,A2,
VMMC,MFM,MACAU,MCAU,ASIA,A1,A1,A1,
VOBL,BLR,BANGALORE,INDIA,ASIA,D,D,D,CA
VOCI,COK,COCHIN,INDIA,ASIA,D,D,D,
VOHS,HYD,HYDERABAD,INDIA,ASIA,D,D,D,A1
VOMM,MAA,CHENNAI,INDIA,ASIA,D,D,D,
VOTV,TRV,THIRUVANANTHAPURAM,INDIA,ASIA,D,D,D,
VRMG,GAN,GAN ISLAND,MALDIVES,ASIA,A1,A1,A1,CA
VRMM,MLE,MALE,MALDIVES,ASIA,D,D,D,CA
VTBD,DMK,BANGKOK,THAILAND,ASIA,A2,A2,A2,A2
VTBS,BKK,BANGKOK,THAILAND,ASIA,D,D,D,D
VTBU,UTP,RAYONG,THAILAND,ASIA,A1,A1,A1,A1
VTCC,CNX,CHANG MAI,THAILAND,ASIA,A1,A1,A1,EA
VTSG,KBV,KRABI,THAILAND,ASIA,A2,A2,A2,
VTSP,HKT,PHUKET,THAILAND,ASIA,D,D,D,CA
VTUU,UBP,UBON RATCHATHANI,THAILAND,ASIA,A1,A1,A1,
VVDN,DAD,DANANG,VIETNAM,ASIA,A1,A1,A1,
VVNB,HAN,HANOI,VIETNAM,ASIA,D,D,D,
VVTS,SGN,HOCHIMINH,VIETNAM,ASIA,D,D,D,CA
VYMD,MDL,MANDALAY,MYANMAR,ASIA,A2,A2,A2,
VYYY,RGN,YANGON,MYANMAR,ASIA,D,D,D,CA
WADD,DPS,DENPASAR,INDONESIA,ASIA,D,D,D,CA
WARR,SUB,SURABAYA,INDONESIA,ASIA,A2,A2,A2,CA
WBKK,BKI,KOTA KINABALU,MALAYSIA,ASIA,A1,A1,A1,CA
WBSB,BWN,BANDAR SERI BEGAWAN,BRUNEI,ASIA,A1,A1,A1,CA
WIHH,HLP,JAKARTA,INDONESIA,ASIA,A1,A1,A1,CA
WIII,CGK,JAKARTA ,INDONESIA,ASIA,D,D,D,CA
WIMM,KNO,MEDAN KUALANAMU,INDONESIA,ASIA,A1,A1,A1,CA
WITT,BTJ,BANDA ACEH,INDONESIA,ASIA,EA,EA,EA,
WMKJ,JHB,JAHOR BAHRU,MALAYSIA,ASIA,A1,A1,A1,
WMKK,KUL,KUALA LUMPUR,MALAYSIA,ASIA,D,D,D,D
WMKL,LGK,LANGKAWI,MALAYSIA,ASIA,A1,A1,A1,
WMKP,PEN,PENANG,MALAYSIA,ASIA,A1,A1,A1,
WSAP,QPG,SINGAPORE,SINGAPRE,ASIA,A1,A1,A1,
WSSS,SIN,SINGAPORE,SINGAPRE,ASIA,D,D,D,D
YBAS,ASP,ALICE SPRINGS,AUSTRALIA,OCEANIA,CA,CA,CA,CA
YBBN,BNE,BRISBANE,AUSTRALIA,OCEANIA,D,D,D,D
YBCG,OOL,GOLD COAST,AUSTRALIA,OCEANIA,A1,A1,A1,
YBCS,CNS,CAIRNS,AUSTRALIA,OCEANIA,A1,A1,A1,
YBRK,ROK,ROCKHAMPTON,AUSTRALIA,OCEANIA,CA,CA,CA,
YBTL,YSV,TOWNSVILL,AUSTRALIA,OCEANIA,CA,CA,CA,
YMAV,AVV,AVALON,AUSTRALIA,OCEANIA,A2,A2,A2,A2
YMLW,NTL,WILLIAMTOWN,AUSTRALIA,OCEANIA,CA,CA,CA,
YMML,MEL,MELBOURNE,AUSTRALIA,OCEANIA,D,D,D,D
YPAD,ADL,ADELAIDE,AUSTRALIA,OCEANIA,D,D,D,A1
YPCC,CCK,COCOS I,AUSTRALIA,OCEANIA,EA,EA,EA,EA
YPDN,DRW,DARWIN,AUSTRALIA,OCEANIA,A1,A1,A1,A1
YPEA,,PEARCE,AUSTRALIA,OCEANIA,EA,EA,EA,
YPKG,KGI,KALGOORLIE,AUSTRALIA,OCEANIA,EA,EA,EA,
YPLM,LEA,LEARMONTH,AUSTRALIA,OCEANIA,A2,A2,A2,EA
YPPH,PER,PERTH,AUSTRALIA,OCEANIA,D,D,D,D
YSCB,CBR,CANBERRA,AUSTRALIA,OCEANIA,A1,A1,CA,CA
YSSY,SYD,SYDNEY,AUSTRALIA,OCEANIA,D,D,D,D
ZBAA,PEK,BEIJING CAPITAL,CHINA,ASIA,A1,D,A1,D
ZBHH,HET,HOHHOT / BAITA,CHINA,ASIA,CA,CA,CA,CA
ZBTJ,TSN,TIANJIN BANHAI,CHINA,ASIA,CA,CA,CA,CA
ZBYN,TYN,TAIYUAN / WUSU,CHINA,ASIA,CA,CA,CA,CA
ZGGG,CAN,GUANGZHOU,CHINA,ASIA,D,D,D,D
ZGNN,NNG,NANNING,CHINA,ASIA,CA,CA,CA,CA
ZGSZ,SZX,SHENZHEN,CHINA,ASIA,CA,CA,CA,
ZHCC,CGO,ZHENGZHOU,CHINA,ASIA,CA,CA,CA,
ZHHH,WUH,WUHAN,CHINA,ASIA,CA,CA,CA,
ZLIC,INC,YINCHUAN,CHINA,ASIA,CA,CA,CA,
ZLJQ,JGN,JIAYUGUAN,CHINA,ASIA,EA,EA,EA,EA
ZLLL,LHW,LANZHOU,CHINA,ASIA,CA,CA,CA,CA
ZLXY ,XIY,XIAN XIANYANG,CHINA,ASIA,CA,CA,CA,CA
ZMUB,UL,ULAANBAATAR,MONGOLIA,ASIA,A1,A1,A1,
ZPPP ,KMG,KUNMING,CHINA,ASIA,CA,CA,CA,CA
ZSHC,HGH,HANGZHOU,CHINA,ASIA,CA,CA,CA,
ZSNJ,NKG,NANJING,CHINA,ASIA,CA,CA,CA,
ZSPD,PVG,SHANGHAI,CHINA,ASIA,D,D,D,D
ZSSS,SHA,SHANGHAI,CHINA,ASIA,CA,CA,CA,CA
ZUUU,CTU,CHENGDU,CHINA,ASIA,CA,CA,CA,CA
ZWSH,KHG,KASHI,CHINA,ASIA,CA,CA,CA,CA
ZWTL,TLQ,TURPAN,CHINA,ASIA,EA,EA,EA,EA
ZWTN,HTN,HOTAN,CHINA,ASIA,CA,CA,CA,CA
ZWWW,URC,URUMQI,CHINA,ASIA,CA,CA,CA,CA
ZYTL,DLC,DALIAN,CHINA,ASIA,CA,CA,CA,
